gene,expression
AL512383.1,0.8743504
AL590438.1,0.04857502
ARHGEF16,0.38860017
AL512413.1,0.0
MEGF6,3.3516765
MIR551A,0.0
AL513320.1,0.09715004
TPRG1L,17.827032
WRAP73,19.72146
TP73,0.04857502
AL136528.1,0.0
AL136528.2,0.0
TP73-AS1,6.897653
TP73-AS1-1,0.0
CCDC27,0.09715004
SMIM1,1.9430008
LRRC47,31.088013
RN7SL574P,0.14572507
AL365330.1,0.0
CEP104,17.244133
DFFB,2.9145014
C1orf174,22.490236
LINC01134,0.38860017
LINC01346,0.0
LINC01345,0.0
AL805961.1,0.0
AL805961.2,0.09715004
EEF1DP6,0.04857502
LINC01777,0.0
AL355602.1,0.0
Z98747.1,0.0
LINC01646,0.0
AJAP1,0.34002516
BX005132.2,0.0
BX005132.1,0.0
AL691497.1,0.0
AL139823.1,0.0
Z98259.3,0.0
Z98259.2,0.0
Z98259.1,0.0
Z97988.1,0.0
AL365255.1,0.0
MIR4417,0.0
MIR4689,0.0
NPHP4,2.5259013
KCNAB2,3.5945516
CHD5,0.53432524
RPL22,328.17285
AL031847.1,0.29145014
RNF207,8.306329
ICMT,29.485039
LINC00337,0.38860017
HES3,0.0
GPR153,0.4857502
ACOT7,23.02456
AL031848.2,0.5829003
HES2,0.14572507
ESPN,0.04857502
MIR4252,0.0
AL031848.1,0.0
TNFRSF25,7.3348284
PLEKHG5,8.063454
NOL9,14.426782
RNU6-731P,0.0
AL591866.1,0.0
TAS1R1,0.09715004
ZBTB48,9.6664295
KLHL21,9.132105
PHF13,13.6010065
THAP3,15.495432
DNAJC11,12.289481
LINC01672,0.0
AL591163.1,0.29145014
AL590128.2,1.8944259
CAMTA1,220.23915
AL590128.1,0.9229254
AL512330.1,0.04857502
RNU1-8P,0.09715004
CAMTA1-IT1,1.1172255
Z97987.1,0.04857502
AL365194.1,0.8743504
AL359881.3,0.0
AL359881.2,0.09715004
AL359881.1,0.14572507
VAMP3,97.73295
Z98884.2,0.04857502
PER3,21.518736
Z98884.1,0.04857502
UTS2,0.0
TNFRSF9,2.185876
AL009183.1,0.0
PARK7,267.9884
Y_RNA,0.0
AL034417.4,0.4371752
AL034417.3,1.5544007
ERRFI1,14.815382
AL034417.2,0.8257754
AL034417.1,0.04857502
AL358876.1,0.0
LINC01714,0.0
RNU1-7P,0.0
AL358876.2,0.0
RNU6-991P,0.0
SLC45A1,4.274602
Y_RNA-1,0.0
RERE,57.415676
AL096855.1,0.34002516
SNORA77,1.0686505
AL096855.2,0.0
RPL7P11,0.0
RPL7P7,1.2629507
Y_RNA-2,0.19430009
AL357552.1,0.0
AL357552.2,0.6800503
RPL23AP19,0.14572507
ENO1,319.1865
MIR6728,0.0
ENO1-IT1,1.0200756
ENO1-AS1,2.088726
RNU6-304P,0.0
HMGN2P17,0.0
AL139415.1,0.09715004
AL139415.2,0.09715004
CA6,0.0
RN7SL451P,0.0
SLC2A7,0.04857502
SLC2A5,0.04857502
SCARNA16,0.0
GPR157,2.5259013
MIR34AHG,0.6800503
MIR34A,0.0
LINC01759,0.72862536
Z98044.1,0.0
H6PD,20.30436
SPSB1,16.175484
BX323043.1,0.19430009
AL928921.2,0.4857502
RNA5SP40,0.0
AL928921.1,0.0
SLC25A33,26.861988
AL954705.1,0.29145014
TMEM201,4.9546523
PIK3CD,0.8743504
PIK3CD-AS1,0.0
AL691449.1,0.0
PIK3CD-AS2,0.53432524
CLSTN1,36.431267
MZT1P1,0.0
AL357140.3,0.04857502
CTNNBIP1,37.111317
AL357140.1,0.09715004
LZIC,18.701384
AL357140.2,0.72862536
NMNAT1,8.257753
RN7SKP269,0.0
AL357140.4,0.0
MIR5697,0.0
AL603962.1,0.0
RBP7,194.39725
UBE4B,12.046606
AL590639.1,0.14572507
PGAM1P11,0.0
RNU6-828P,0.0
KIF1B,15.495432
MIR1273D,0.09715004
RNU6-37P,3.3516765
RN7SL731P,0.0
AL139424.3,0.6800503
AL139424.2,0.38860017
PGD,16.272633
AL139424.1,0.0
CENPS-CORT,0.77720034
CENPS,8.209179
CORT,10.589355
DFFA,48.915047
AL354956.1,0.04857502
PEX14,13.260982
RN7SL614P,0.0
CASZ1,14.621081
AL139423.1,0.09715004
HSPE1P24,0.0
C1orf127,0.04857502
CFL1P6,0.0
TARDBP,46.097694
AL109811.4,0.04857502
MASP2,0.0
AL109811.3,0.14572507
SRM,43.03747
EXOSC10,16.80696
AL109811.1,0.0
AL109811.2,0.6800503
MTOR,8.306329
MTOR-AS1,0.0
RNU6-537P,0.0
ANGPTL7,0.09715004
RNU6-291P,0.0
RPL39P6,0.34002516
UBIAD1,10.297905
UBE2V2P3,0.0
AL031291.1,0.0
MTCYBP45,0.0
DISP3,0.14572507
LINC01647,0.0
AL031731.1,0.19430009
FBXO2,0.53432524
FBXO44,5.0518026
FBXO6,12.386631
MAD2L2,41.337345
DRAXIN,0.53432524
AGTRAP,48.817898
C1orf167,5.5861273
AL953897.1,0.0
MTHFR,24.433237
CLCN6,6.314753
NPPA-AS1,0.53432524
NPPA-AS1_1,0.0
NPPA-AS1_2,0.0
NPPA,0.0
NPPA-AS1_3,0.0
NPPB,0.0
AL021155.1,0.0
RNU5E-1,1.8458508
RNU5E-4P,0.6800503
KIAA2013,21.810184
PLOD1,38.519993
MFN2,15.009682
AL096840.1,0.09715004
MIIP,13.941031
Y_RNA-3,0.19430009
MIR6729,0.0
RN7SL649P,0.0
TNFRSF8,0.5829003
RNU6-777P,0.0
RPL23AP89,0.19430009
MIR7846,0.0
TNFRSF1B,34.002514
MIR4632,0.0
RPL10P17,0.0
SNORA70,0.0
VPS13D,16.369781
SNORA59A,0.0
AC243836.1,0.0
DHRS3,28.853563
RNU6ATAC18P,0.0
MIR6730,0.0
AC254633.1,0.38860017
AADACL4,0.0
AC244670.1,0.0
AADACL3,0.0
C1orf158,0.0
PRAMEF12,0.0
PRAMEF1,0.0
LINC01784,0.0
PRAMEF11,0.0
PRAMEF30P,0.0
HNRNPCL1,0.0
PRAMEF2,0.0
PRAMEF4,0.0
PRAMEF10,0.0
PRAMEF7,0.0
RNU6-1072P,0.0
PRAMEF29P,0.0
PRAMEF6,0.0
PRAMEF28P,0.0
PRAMEF27,0.0
HNRNPCL3,0.0
PRAMEF25,0.0
PRAMEF34P,0.0
PRAMEF35P,0.0
HNRNPCL2,0.04857502
PRAMEF36P,0.0
AC245056.1,0.0
PRAMEF26,0.0
HNRNPCL4,0.0
PRAMEF9,0.0
PRAMEF13,0.0
PRAMEF18,0.0
PRAMEF31P,0.0
PRAMEF5,0.0
PRAMEF32P,0.0
RNU6-443P,0.0
PRAMEF8,0.0
PRAMEF33,0.0
PRAMEF15,0.0
AC243961.1,0.0
PRAMEF14,0.0
PRAMEF19,0.0
PRAMEF17,0.0
PRAMEF20,0.0
LRRC38,0.0
AL354712.1,0.0
BRWD1P1,0.0
PDPN,18.847109
RNA5SP41,0.0
AL359771.1,0.0
SCARNA11,0.0
PRDM2,13.843882
KAZN,17.487007
RNU6-1265P,0.0
AL357873.1,0.0
AL359873.1,0.0
TBCAP2,0.04857502
TMEM51-AS1,0.38860017
TMEM51,17.729883
C1orf195,0.0
AL035405.1,1.1172255
AL391094.1,0.04857502
FHAD1,1.6029757
AL031283.2,0.19430009
AL031283.3,0.04857502
AL031283.1,0.4371752
EFHD2,44.78617
CTRC,0.77720034
CELA2A,0.04857502
CELA2B,0.0
CASP9,5.4404025
DNAJC16,8.354904
SCARNA21B,0.0
AL121992.3,0.0
AGMAT,0.4857502
AL121992.1,0.09715004
CHCHD2P6,0.6800503
RNU7-179P,0.04857502
CD24P1,0.0
DDI2,10.006454
RSC1A1,0.0
AL121992.2,0.04857502
PLEKHM2,13.552431
AL450998.3,0.0
SLC25A34,0.8743504
AL450998.2,0.14572507
TMEM82,0.14572507
FBLIM1,16.612658
RPL12P14,1.0200756
UQCRHL,9.083529
AL450998.1,15.835458
FLJ37453,12.823806
SPEN,34.876865
AL034555.1,0.04857502
ZBTB17,14.5239315
AL355994.4,0.53432524
AL355994.1,0.04857502
AL355994.5,0.0
TBC1D3P6,0.0
C1orf64,0.09715004
AL355994.3,0.0
HSPB7,11.803731
CLCNKA,0.0
AL355994.2,0.0
CLCNKB,0.0
FAM131C,0.2428751
EPHA2,33.273888
AL451042.2,0.29145014
AL451042.1,0.4371752
ARHGEF19-AS1,0.0
ARHGEF19,6.606203
ANO7L1,1.2629507
RSG1,2.428751
MT1XP1,2.185876
FBXO42,10.589355
SZRD1,55.132652
AL358794.1,0.04857502
SPATA21,1.1172255
NECAP2,81.89749
LINC01772,1.2143755
CROCCP3,1.0686505
RNU1-1,0.4857502
AL137802.2,0.34002516
AL137802.1,0.29145014
LINC01783,0.0
RNU1-6P,0.0
FAM231B,0.0
AL355149.1,0.0
NBPF1,4.6632023
AL137798.1,0.0
CROCCP2,20.98441
AL137798.3,0.0
MST1P2,1.0200756
AL137798.2,0.0
RNU1-3,0.0
FAM231A,0.0
AL021920.2,0.0
EIF1AXP1,2.088726
ESPNP,0.0
AL021920.1,0.0
FAM231C,0.0
AL021920.3,0.0
CROCC,7.5291286
CROCCP4,0.0
RNU1-4,0.0
MST1L,0.38860017
BX284668.1,0.0
BX284668.3,0.0
MIR3675,0.0
BX284668.2,0.0
RNU1-5P,0.0
BX284668.5,48.575024
BX284668.4,0.0
RNU1-2,0.04857502
BX284668.6,5.829003
MFAP2,0.2428751
AL049569.1,0.0
ATP13A2,13.892456
SDHB,73.10541
PADI2,0.09715004
AL590644.1,0.0
AL590644.3,0.0
PADI1,0.0
PADI3,0.0
MIR3972,0.0
PADI4,0.0
PADI6,0.0
AC004824.1,0.0
RCC2,29.436464
ARHGEF10L,7.917729
AL136529.1,0.0
ACTL8,0.0
AL357509.1,0.0
LINC01654,0.0
IGSF21,0.0
AL365209.1,0.0
AL359738.1,0.0
AL591896.1,0.0
KLHDC7A,0.09715004
DYNLL1P3,0.04857502
AL031737.1,0.0
PAX7,0.0
TAS1R2,0.0
AL080251.1,0.0
ALDH4A1,3.7402768
MIR4695,0.0
MIR1290,0.0
IFFO2,7.6262784
AL137127.1,0.2428751
UBR4,9.520704
AL035413.1,3.4488266
EMC1,13.163831
MRTO4,23.947487
AKR7L,0.0
AKR7A3,0.34002516
AL035413.2,0.04857502
AKR7A2,53.723976
RNU6-1099P,1.0200756
PQLC2,5.780428
CAPZB,241.66074
RN7SL277P,0.14572507
RNU4-28P,0.0
AL031727.2,0.19430009
MINOS1,178.75607
MINOS1-NBL1,0.0
AL031727.1,219.99628
NBL1,72.18248
HTR6,0.0
TMCO4,5.4404025
RNF186,0.0
AL391883.1,0.0
OTUD3,3.2545266
PLA2G2E,0.0
RN7SL304P,0.0
PLA2G2A,1.1658006
PLA2G5,0.09715004
PLA2G2D,0.0
PLA2G2F,0.0
Z98257.1,0.04857502
PLA2G2C,0.0
UBXN10-AS1,0.29145014
UBXN10,0.29145014
LINC01757,0.0
Z98257.2,0.0
VWA5B1,0.0
AL020998.1,0.0
LINC01141,0.0
AL139254.1,0.0
AL139254.2,0.0
AL139254.3,0.0
CAMK2N1,11.560856
MUL1,18.74996
RPS4XP4,0.2428751
FAM43B,0.09715004
CDA,25.890488
PINK1,30.26224
MIR6084,0.0
PINK1-AS,0.72862536
DDOST,55.86128
KIF17,11.803731
AL663074.2,0.09715004
SH2D5,0.0
AL663074.1,0.04857502
HP1BP3,98.46157
EIF4G3,32.642418
RNU7-200P,0.0
MIR1256,0.0
RPS15AP6,0.9715004
AL627311.1,0.34002516
HSPE1P27,0.09715004
ECE1,130.13248
AL031005.1,0.6314753
AL031728.1,0.0
PPP1R11P1,0.0
AL592309.1,0.0
AL592309.2,0.0
NBPF2P,0.34002516
HS6ST1P1,0.0
CROCCP5,0.0
NBPF3,2.4773262
PFN1P10,0.0
ALPL,87.04644
AL359815.1,0.19430009
RAP1GAP,0.14572507
USP48,35.21689
AL590103.1,0.0
LDLRAD2,1.4086757
HSPG2,430.90903
AL590556.1,3.4488266
AL590556.2,0.0
CELA3B,0.0
RN7SL386P,0.0
RNU6-1022P,0.0
CELA3A,0.0
RN7SL186P,0.0
RNU6-776P,0.0
LINC01635,0.53432524
LINC00339,10.783655
CDC42,342.5025
CDC42-IT1,5.537553
AL031281.1,0.0
AL031281.2,0.38860017
WNT4,2.4773262
MIR4418,0.0
AL591122.1,0.04857502
AL591122.2,0.0
ZBTB40,6.169028
ZBTB40-IT1,0.0
EPHA8,0.0
MIR6127,0.0
C1QA,0.53432524
C1QC,0.29145014
C1QB,0.34002516
EPHB2,0.4857502
MIR4684,0.0
AL512444.1,0.0
MIR4253,0.0
LACTBL1,0.0
TEX46,0.14572507
KDM1A,12.338056
AL031428.1,0.09715004
MIR3115,0.0
MIR4419A,0.8743504
LUZP1,119.786
AL161672.1,0.04857502
RNU6-514P,0.77720034
RNU6-135P,0.04857502
HTR1D,0.29145014
AL109936.1,0.09715004
LINC01355,2.428751
AL109936.8,0.0
HNRNPR,101.61895
ZNF436,22.490236
ZNF436-AS1,2.137301
Y_RNA-4,0.0
AL109936.2,0.14572507
TCEA3,12.920956
AL357134.1,0.04857502
ASAP3,4.5660524
E2F2,0.2428751
AL021154.1,0.19430009
ID3,1437.092
MDS2,0.04857502
AL451000.1,0.0
RPL11,1973.4574
ELOA,27.056288
ELOA-AS1,3.1088014
PITHD1,48.040695
LYPLA2,41.725945
GALE,15.252557
HMGCL,27.833488
FUCA1,18.118484
CNR2,0.09715004
BTBD6P1,0.0
AL590609.3,0.0
MIR378F,0.0
AL590609.2,0.04857502
PNRC2,100.84174
SRSF10,125.80931
AL590609.1,2.2830262
AL591178.1,0.0
MYOM3,0.29145014
AL591178.2,0.0
IL22RA1,0.0
IFNLR1,0.0
AL590683.1,0.0
AL138902.1,0.0
GRHL3,0.0
STPG1,4.711777
NIPAL3,11.415131
RCAN3,3.1088014
AL445686.2,1.9430008
NCMAP,0.19430009
AL445686.1,0.0
Y_RNA-5,0.0
SRRM1,141.2076
AL445648.1,0.0
CLIC4,176.3759
RNU6-1208P,0.0
RUNX3,0.38860017
MIR6731,0.0
AL445471.1,0.0
AL445471.2,0.0
MIR4425,0.0
AL050344.1,0.0
AL121994.1,0.34002516
AL031432.1,0.38860017
SYF2,193.7172
AL031432.4,1.7001258
AL031432.5,0.09715004
RSRP1,144.94788
AL031432.3,0.6314753
AL031432.2,0.14572507
RHD,0.04857502
SDHDP6,0.0
AL928711.1,0.04857502
TMEM50A,275.42038
RHCE,0.2428751
AL031284.1,0.14572507
TMEM57,26.716263
LDLRAP1,12.386631
AL606491.1,1.1658006
MAN1C1,5.537553
AL031280.1,2.137301
SELENON,61.59313
AL020996.2,0.0
AL020996.1,0.4371752
MTFR1L,26.424812
AL020996.3,0.0
AUNIP,0.14572507
AL033528.2,0.34002516
PAQR7,4.9060774
Y_RNA-6,0.04857502
STMN1,252.49297
SNRPFP2,0.0
AL033528.1,0.4857502
MIR3917,0.0
PAFAH2,6.460478
RNU6-110P,0.0
SCARNA17,0.0
SCARNA18,0.0
EXTL1,0.04857502
SLC30A2,0.2428751
AL391650.2,0.0
TRIM63,0.14572507
PDIK1L,4.1288767
FAM110D,125.4207
C1orf232,0.0
AL391650.1,0.38860017
ZNF593,54.6469
CNKSR1,1.1172255
CATSPER4,0.0
AL355877.1,0.19430009
AL355877.3,0.09715004
CEP85,3.1573765
AL355877.2,0.0
SH3BGRL3,513.58374
UBXN11,5.2461023
CD52,12.386631
CRYBG2,0.04857502
AL451139.1,0.04857502
ZNF683,0.0
LIN28A,0.04857502
DHDDS,13.260982
AL513365.1,63.244682
AL513365.2,0.0
HMGN2,141.40189
DPPA2P2,0.09715004
RPS6KA1,4.420327
MIR1976,0.0
RN7SL679P,0.0
Y_RNA-7,0.0
RNU7-29P,0.0
AL627313.1,0.0
snoU13,0.0
AL627082.1,0.0
AL512408.1,0.14572507
ARID1A,39.29719
PIGV,5.2461023
RN7SL165P,0.0
ZDHHC18,6.2176027
SFN,0.6314753
AL034380.1,0.0
GPN2,16.029757
GPATCH3,11.658006
NUDC,141.25616
NR0B2,0.0
KDF1,0.0
RPL12P13,1.0200756
AL356390.1,0.2428751
OSTCP2,0.0
TRNP1,1.4086757
FAM46B,4.031727
SLC9A1,12.435205
AL590640.2,0.0
CHCHD3P3,0.0
NPM1P39,0.8257754
SNRPEP7,0.0
AL590640.1,0.0
WDTC1,10.63793
Y_RNA-8,0.0
FO393419.3,0.4371752
TMEM222,23.170284
RNU6-48P,0.0
ACTG1P20,0.0
SYTL1,0.4371752
MAP3K6,19.62431
FCN3,167.14665
CD164L2,0.09715004
FO393419.1,0.09715004
GPR3,1.3115256
WASF2,149.31961
FO393419.2,0.09715004
BX293535.1,0.8257754
AHDC1,20.401508
FGR,10.15218
AL031729.1,7.2376785
AL445490.2,1.6029757
IFI6,620.9831
AL445490.1,0.04857502
RNU6-949P,0.0
CHMP1AP1,0.0
RNU6-424P,0.0
FAM76A,11.172255
AL020997.1,0.77720034
RPEP3,0.0
STX12,60.91308
AL020997.2,5.3918276
AL020997.3,0.14572507
RNU6-1245P,0.0
PPP1R8,24.190361
SCARNA1,0.0
THEMIS2,4.9060774
RPA2,38.47142
SMPDL3B,3.3031015
AL512288.1,0.0
XKR8,8.1606045
EYA3,15.058257
AL512288.2,0.0
RN7SL559P,0.9229254
SPCS2P4,5.2946777
AL137792.2,0.0
AL137792.1,0.0
RNU6-176P,0.0
PTAFR,50.323723
DNAJC8,140.47896
ATPIF1,212.27284
AL353622.1,0.38860017
AL353622.2,0.0
SESN2,12.580931
MED18,5.6347027
PHACTR4,78.30294
Y_RNA-9,0.0
CR391992.1,2.0401511
RNU6ATAC27P,4.177452
RCC1,16.612658
SNHG3,40.268692
SNORA73A,0.0
SNORA73B,0.09715004
PRDX3P2,0.0
AL513497.1,2.185876
TRNAU1AP,26.619112
SNHG12,20.061485
SNORD99,2.185876
SNORA61,0.0
SNORA44,0.0
SNORA16A,0.0
SNORA16A-1,0.0
TAF12,47.6521
RAB42,0.29145014
LINC01715,0.5829003
AL360012.1,0.0
RNU11,0.09715004
GMEB1,13.066681
SCARNA24,0.0
YTHDF2,92.972595
OPRD1,0.04857502
AL009181.1,0.04857502
Y_RNA-10,0.0
EPB41,5.4404025
AL138785.1,6.557628
Y_RNA-11,0.0
Metazoa_SRP,0.0
TMEM200B,4.0803022
AL357500.1,0.0
SRSF4,147.18233
uc_338,0.0
MECR,11.658006
AL590729.1,0.0
PTPRU,0.9715004
LINC01756,0.0
AL671862.1,0.0
AC092265.1,0.0
AL645944.2,0.0
AL645944.1,0.0
LINC01648,0.0
AL137076.1,0.0
AL021921.1,0.0
AL161638.2,0.0
AL161638.1,0.0
MATN1,0.29145014
MATN1-AS1,0.9229254
LAPTM5,14.086757
MIR4420,0.0
AL137027.1,0.0
LINC01778,0.19430009
RN7SKP91,0.0
AL445235.1,0.0
SDC3,9.423554
RN7SL371P,0.04857502
PUM1,52.849625
AL356320.2,0.0
AL356320.1,0.04857502
SELENOWP1,0.0
AC114495.1,0.09715004
NKAIN1,0.0
SNRNP40,55.472675
AC114495.2,0.29145014
ZCCHC17,48.817898
AL451070.1,0.09715004
FABP3,6.266178
SERINC2,6.509053
AC209007.1,0.14572507
RNU6-40P,0.0
LINC01225,0.0
Y_RNA-12,0.0
LINC01226,0.09715004
AC114488.1,0.04857502
TINAGL1,356.00635
HCRTR1,0.04857502
PEF1,81.89749
AC114488.2,0.34002516
AC114488.3,0.5829003
COL16A1,4.031727
ADGRB2,0.29145014
MIR4254,0.0
AL354919.2,0.0
SPOCD1,0.34002516
AL354919.1,0.14572507
AL136115.2,0.09715004
PTP4A2,99.43307
AL136115.1,0.19430009
AL136115.3,0.04857502
KHDRBS1,115.36568
AL445248.1,0.4857502
TMEM39B,23.607462
MIR5585,0.4857502
Metazoa_SRP-1,0.2428751
KPNA6,27.979214
AL049795.2,0.0
TXLNA,23.02456
CCDC28B,19.672884
AL049795.1,0.2428751
IQCC,2.2830262
DCDC2B,0.34002516
TMEM234,10.24933
EIF3I,185.60516
MTMR9LP,30.74799
FAM167B,394.86636
LCK,0.9229254
Metazoa_SRP-2,0.14572507
Y_RNA-13,0.0
HDAC1,112.06258
MARCKSL1,305.5369
AL109945.1,0.04857502
TSSK3,0.2428751
FAM229A,2.380176
BSDC1,33.905365
GAPDHP20,0.0
AL356986.1,0.0
LRRC37A12P,0.0
RN7SL122P,0.0
AL033529.1,0.0
ZBTB8B,0.19430009
ZBTB8A,9.423554
ZBTB8OS,43.03747
Y_RNA-14,0.0
RBBP4,60.864502
SYNC,12.629506
AC114489.1,0.09715004
KIAA1522,7.917729
YARS,23.267435
S100PBP,17.535583
FNDC5,0.09715004
HPCA,0.2428751
TMEM54,19.23571
RNF19B,20.69296
AL031602.1,0.09715004
AL355864.1,0.0
AL355864.2,0.09715004
AL020995.1,0.0
AK2,80.051636
Metazoa_SRP-3,0.6800503
AZIN2,3.3031015
AL662907.1,0.14572507
TRIM62,2.0401511
AL662907.2,0.0
AL662907.3,0.34002516
ZNF362,13.698156
AL513327.3,0.0
A3GALT2,0.0
AL513327.1,0.04857502
PHC2,24.336086
MIR3605,0.0
RN7SKP16,0.2428751
AL513327.2,0.09715004
TLR12P,0.0
ZSCAN20,1.2143755
AC115285.1,0.14572507
CSMD2,1.1658006
HSPD1P14,0.0
HMGB4,0.0
CSMD2-AS1,0.0
RNA5SP42,0.0
C1orf94,0.19430009
AC115286.1,0.0
MIR552,0.0
SMIM12,60.81593
GJB5,0.0
GJB4,0.0
AL121988.1,0.0
GJB3,0.0
GJA4,105.6021
AL122010.1,0.04857502
DLGAP3,0.04857502
AC114490.1,1.8944259
AC114490.2,0.0
TMEM35B,0.0
ZMYM6,8.112029
RPL12P45,0.0
ZMYM1,6.8005033
EFCAB14P1,0.0
AL590434.1,0.09715004
SFPQ,164.3293
Y_RNA-15,0.04857502
ZMYM4,16.175484
RN7SL503P,0.0
SNORA62,0.4857502
RPL5P4,6.606203
ZMYM4-AS1,0.04857502
Metazoa_SRP-4,0.6314753
KIAA0319L,21.95591
AC004865.1,0.0
NCDN,4.711777
AC004865.2,0.5829003
TFAP2E,0.14572507
PSMB2,167.8267
C1orf216,12.483781
CLSPN,2.185876
AL354864.1,0.0
AGO4,7.5291286
AGO1,9.86073
AL139286.1,0.0
AL139286.2,0.04857502
AGO3,30.65084
AL138787.2,0.09715004
AL138787.1,0.0
TEKT2,0.04857502
ADPRHL2,22.635962
COL8A2,2.088726
TRAPPC3,82.38324
MAP7D1,63.487553
RN7SL131P,0.04857502
THRAP3,84.909134
UBE2V2P4,0.14572507
SH3D21,0.72862536
EVA1B,56.7842
AL591845.1,0.5829003
STK40,11.51228
LSM10,43.717518
RNU4-27P,0.0
OSCP1,4.3231773
SNORA63C,0.0
MRPS15,68.782234
CSF3R,0.0
FTLP18,0.0
AL596257.1,0.0
AC117945.2,0.0
AC117945.1,0.0
GRIK3,0.38860017
AL031430.1,0.04857502
MIR4255,0.0
RNU6-636P,0.0
AL353604.1,0.0
RNA5SP43,0.0
RPS29P6,0.0
LINC01137,3.7888517
ZC3H12A,51.05235
MIR6732,0.0
MEAF6,83.50046
MIR5581,0.0
SNIP1,8.063454
FTH1P1,0.09715004
AL034379.1,4.274602
DNALI1,5.5861273
GNL2,27.202013
AL513220.1,0.04857502
RSPO1,0.4371752
C1orf109,11.900881
CDCA8,1.1658006
EPHA10,0.0
Y_RNA-16,0.0
ACTN4P2,0.0
AL929472.1,0.0
MANEAL,0.4371752
AL929472.3,0.0
YRDC,16.758383
C1orf122,58.24145
